name,user,html_url,id,node_id,description,stars,forks,prs,language,api_url,created_at,updated_at,pushed_at,license
NewPipe,TeamNewPipe,https://github.com/TeamNewPipe/NewPipe,41889031,MDEwOlJlcG9zaXRvcnk0MTg4OTAzMQ==,A libre lightweight streaming front-end for Android.,23003,2604,1934,Java,https://api.github.com/repos/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,2023-03-11T13:50:10Z,2023-03-08T17:27:40Z,GNU General Public License v3.0
gson,google,https://github.com/google/gson,32538871,MDEwOlJlcG9zaXRvcnkzMjUzODg3MQ==,A Java serialization/deserialization library to convert Java Objects into JSON and back,21906,4209,761,Java,https://api.github.com/repos/google/gson,2015-03-19T18:21:20Z,2023-03-11T11:47:58Z,2023-03-08T14:45:11Z,Apache License 2.0
Telegram,DrKLO,https://github.com/DrKLO/Telegram,13862381,MDEwOlJlcG9zaXRvcnkxMzg2MjM4MQ==,Telegram for Android source,21670,7301,588,Java,https://api.github.com/repos/DrKLO/Telegram,2013-10-25T14:08:10Z,2023-03-11T12:37:04Z,2023-03-11T11:11:48Z,GNU General Public License v2.0
leetcode,doocs,https://github.com/doocs/leetcode,149001365,MDEwOlJlcG9zaXRvcnkxNDkwMDEzNjU=,😏 LeetCode solutions in any programming language | 多种编程语言实现 LeetCode、《剑指 Offer（第 2 版）》、《程序员面试金典（第 6 版）》题解,21422,3839,875,Java,https://api.github.com/repos/doocs/leetcode,2018-09-16T14:03:03Z,2023-03-11T11:46:15Z,2023-03-11T14:32:05Z,Creative Commons Attribution Share Alike 4.0 International
skywalking,apache,https://github.com/apache/skywalking,45721011,MDEwOlJlcG9zaXRvcnk0NTcyMTAxMQ==,"APM, Application Performance Monitoring System",21395,6106,4618,Java,https://api.github.com/repos/apache/skywalking,2015-11-07T03:30:36Z,2023-03-11T14:43:46Z,2023-03-11T02:59:39Z,Apache License 2.0
libgdx,libgdx,https://github.com/libgdx/libgdx,5373551,MDEwOlJlcG9zaXRvcnk1MzczNTUx,Desktop/Android/HTML5/iOS Java game development framework,21210,6396,3477,Java,https://api.github.com/repos/libgdx/libgdx,2012-08-10T19:34:38Z,2023-03-11T12:28:10Z,2023-03-11T13:07:19Z,Apache License 2.0
flink,apache,https://github.com/apache/flink,20587599,MDEwOlJlcG9zaXRvcnkyMDU4NzU5OQ==,Apache Flink,20820,11753,22147,Java,https://api.github.com/repos/apache/flink,2014-06-07T07:00:10Z,2023-03-11T15:06:18Z,2023-03-11T15:02:59Z,Apache License 2.0
redisson,redisson,https://github.com/redisson/redisson,15823460,MDEwOlJlcG9zaXRvcnkxNTgyMzQ2MA==,"Redisson - Redis Java client with features of In-Memory Data Grid. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Publish / Subscribe, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, MyBatis, RPC, local cache ...",20746,4988,544,Java,https://api.github.com/repos/redisson/redisson,2014-01-11T14:06:25Z,2023-03-11T12:13:07Z,2023-03-08T19:59:58Z,Apache License 2.0
Sentinel,alibaba,https://github.com/alibaba/Sentinel,128018428,MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",20643,7497,958,Java,https://api.github.com/repos/alibaba/Sentinel,2018-04-04T06:37:33Z,2023-03-11T14:10:48Z,2023-03-08T17:28:28Z,Apache License 2.0
ExoPlayer,google,https://github.com/google/ExoPlayer,20818126,MDEwOlJlcG9zaXRvcnkyMDgxODEyNg==,An extensible media player for Android,20487,5912,1167,Java,https://api.github.com/repos/google/ExoPlayer,2014-06-13T21:19:18Z,2023-03-11T14:06:36Z,2023-03-10T00:06:17Z,Apache License 2.0
bazel,bazelbuild,https://github.com/bazelbuild/bazel,20773773,MDEwOlJlcG9zaXRvcnkyMDc3Mzc3Mw==,"a fast, scalable, multi-language and extensible build system",20409,3698,6194,Java,https://api.github.com/repos/bazelbuild/bazel,2014-06-12T16:00:38Z,2023-03-11T11:41:49Z,2023-03-11T14:55:57Z,Apache License 2.0
jenkins,jenkinsci,https://github.com/jenkinsci/jenkins,1103607,MDEwOlJlcG9zaXRvcnkxMTAzNjA3,Jenkins automation server,20396,7947,7669,Java,https://api.github.com/repos/jenkinsci/jenkins,2010-11-22T21:21:23Z,2023-03-11T13:55:18Z,2023-03-11T13:57:39Z,MIT License
termux-app,termux,https://github.com/termux/termux-app,44804216,MDEwOlJlcG9zaXRvcnk0NDgwNDIxNg==,Termux - a terminal emulator application for Android OS extendible by variety of packages.,19923,2408,298,Java,https://api.github.com/repos/termux/termux-app,2015-10-23T09:42:46Z,2023-03-11T14:57:02Z,2023-03-09T23:02:14Z,Other
RxAndroid,ReactiveX,https://github.com/ReactiveX/RxAndroid,23095954,MDEwOlJlcG9zaXRvcnkyMzA5NTk1NA==,RxJava bindings for Android,19767,3009,238,Java,https://api.github.com/repos/ReactiveX/RxAndroid,2014-08-19T03:46:38Z,2023-03-11T03:44:38Z,2023-02-20T12:33:53Z,Apache License 2.0
